severity,signal_id,ticker,signal_date,field,signal_value,actual_close,ratio,suggestion,signal_type,email_date,email_subject,raw_text
MANUAL,40156,AEX,2019-02-06,cancel_level,11080.0000,536.6300,20.647,"Value 11080 looks like DAX, not AEX (~537)",BUY,2019-02-06,"#2019 – 021 Charles Nenner Research Center – Morning Update  –  Wednesday, February 6, 2019",The following closes below will give a sell signal: DAX 11080
MANUAL,42309,AEX,2020-03-27,cancel_level,5720.0000,464.9300,12.303,"Value 5720 looks like DAX, not AEX (~465)",BUY,2020-03-27,Friday Morning Update - March 27 #2020-046,"The following closes will cancel the buy signals: AEX a close below 5,720"
MANUAL,44876,AUD/USD,2021-02-19,cancel_level,178.9000,0.7768,230.304,"Ratio 230.30x -- severe, needs manual review",SELL,2021-02-19,Friday Morning Update - February 19 #2021-032,Continues on a sell signal as long as there is no close above 178.90 but he cycles are down.
MANUAL,55066,AUD/USD,2022-12-16,cancel_level,0.0671,0.6706,0.100,Ratio 0.10x -- large deviation,SELL,2022-12-16,Friday Morning Update - December 16 #2022-197,Is back on a sell signal from 0.6800 and reached our short term downside price target of 0.6700. The sell signal continues as long as there is no close above .06710.
MANUAL,42886,BTC,2020-06-22,origin_price,96.0000,9648.7178,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2020-06-22,"❇  Intraday # 69 - S&P, Euro, Bond & Bitcoin","a close above the hourly trend line, around 96, will be a buy signal."
MANUAL,42886,BTC,2020-06-22,cancel_level,96.0000,9648.7178,0.010,"Ratio 0.01x -- severe, needs manual review",BUY,2020-06-22,"❇  Intraday # 69 - S&P, Euro, Bond & Bitcoin","a close above the hourly trend line, around 96, will be a buy signal."
MANUAL,42307,DAX,2020-03-27,cancel_level,450.0000,9632.5195,0.047,"Ratio 0.05x -- severe, needs manual review",BUY,2020-03-27,Friday Morning Update - March 27 #2020-046,The following closes will cancel the buy signals: DAX a close below 450
MANUAL,42115,EUR/USD,2020-02-17,origin_price,11.0000,1.0842,10.146,"Ratio 10.15x -- severe, needs manual review",SELL,2020-02-17,Monday Morning Update - February 17 #2020-026,The Euro continues on a sell signal from 11 based on a short term cycle low. We can see a bounce if there is a close above 108.70
MANUAL,44541,EUR/USD,2021-01-12,cancel_level,22.0000,1.2161,18.091,"Ratio 18.09x -- severe, needs manual review",SELL,2021-01-12,"❇ Intraday # 3 - S&P, Nasdaq, GLD, Silver, Euro & GBTC",The Euro gave the projected sell signal below 22 but for now we do not expect a serious correction.
MANUAL,47652,FXE,2021-10-10,cancel_level,19.5000,102.6787,0.190,Ratio 0.19x -- large deviation,BUY,2021-10-10,Sunday Cycle Chart - October 10 #2021 -170,The FXE will give a buy signal on a close above 19.50.
MANUAL,47657,FXE,2021-10-10,origin_price,19.5000,102.6787,0.190,Ratio 0.19x -- large deviation,BUY,2021-10-10,Sunday Cycle Chart - October 10 #2021-170,The FXE will give a buy signal on a close above 19.50
MANUAL,47657,FXE,2021-10-10,cancel_level,19.5000,102.6787,0.190,Ratio 0.19x -- large deviation,BUY,2021-10-10,Sunday Cycle Chart - October 10 #2021-170,The FXE will give a buy signal on a close above 19.50
MANUAL,40218,GC,2019-02-27,cancel_level,113.1900,1317.7000,0.086,"Ratio 0.09x -- severe, needs manual review",SELL,2019-02-27,"#2019 - 031 Charles Nenner Research Center - Morning Update - Wednesday, February 27, 2019",A close below 113.19 for gold and for silver 15.61 will be a sell signal.
MANUAL,43136,GC,2020-07-17,cancel_level,18.1600,1808.3000,0.010,"Value 18.16 looks like Silver, not Gold (~1808)",BUY,2020-07-17,Friday Morning Update - July 17 #2020-102,The buy signal continues as long as there is not a close below 18.16.
CHECK,49461,GDXJ,2022-01-28,origin_price,140.0000,34.9420,4.007,Ratio 4.01x -- moderate deviation,SELL,2022-01-28,Friday Morning Update - January 28  #2022-018,GDXJ is on a sell signal from 140.
MANUAL,56349,GDXJ,2023-03-08,cancel_level,3350.0000,30.7256,109.030,"Ratio 109.03x -- severe, needs manual review",SELL,2023-03-08,Wednesday Morning Update - March 8 #2023 -038,"GDXJ gave a sell signal with a close below 3,350."
CHECK,47476,GLD,2021-09-29,cancel_level,64.5000,161.3200,0.400,Ratio 0.40x -- moderate deviation,SELL,2021-09-29,Wednesday Morning Update - September 29 #2021-163,"Gold, GLD and GDXJ continue on a sell signal as long as we don't see the following closes: GLD above 64.50"
CHECK,47552,GLD,2021-10-01,cancel_level,64.5000,164.5900,0.392,Ratio 0.39x -- moderate deviation,SELL,2021-10-01,Friday Morning Update - October 1 #2021-164,Sell signals continue as long as we don't see the following closes: GLD above 64.50
MANUAL,52413,GS,2022-07-24,cancel_level,34.0000,296.2280,0.115,Ratio 0.11x -- large deviation,SELL,2022-07-24,Sunday Cycle Chart - July 24 #2022 -115,"However, short term traders can keep a sell signal just below 34."
MANUAL,46317,LBS,2021-07-06,cancel_level,145.5000,792.9000,0.184,Ratio 0.18x -- large deviation,BUY,2021-07-06,"❇  Intraday #57 - Nasdaq, Gold, Crude, Corn, Lumber, Soybeans, Wheat, TLT & Bitcoin",A close below 145.50 will cancel the buy signal.
MANUAL,46390,LBS,2021-07-07,cancel_level,38.0000,780.0000,0.049,"Ratio 0.05x -- severe, needs manual review",SELL,2021-07-07,Wednesday Morning Update - July 7 #2021-115,CUT - the sell signal continues as long as there is no close above 38.
MANUAL,46759,LBS,2021-08-06,cancel_level,37.5000,551.6000,0.068,"Ratio 0.07x -- severe, needs manual review",BUY,2021-08-06,Friday Morning Update - August 6 #2021-131,CUT continues on a buy signal as long as there is no close below 37.50.
MANUAL,47021,LBS,2021-08-27,cancel_level,38.7000,485.2000,0.080,"Ratio 0.08x -- severe, needs manual review",SELL,2021-08-27,Friday Morning Update - August 27 #2021-144,The short term cycles are up for two weeks but a close above 550 will lead to a bounce. CUT closed one tick above our level of 38.70 with a close of 38.71 which is not convincing enough. The sell signal continues until we get a good close above 38.70.
MANUAL,48214,LBS,2021-11-08,cancel_level,37.5000,591.1000,0.063,"Ratio 0.06x -- severe, needs manual review",SELL,2021-11-08,Monday Morning Update - November 8 #2021-187,CUT the sell signal continues as long as there is no close above 37.50.
MANUAL,56448,LBS,2023-03-13,origin_price,68.0000,353.6000,0.192,Ratio 0.19x -- large deviation,BUY,2023-03-13,Monday Morning Update - March 13 #2023 -041,Continues on a buy signal from 68 as long as there is no close below 395.
CHECK,42766,MMM,2020-06-07,cancel_level,30.5000,113.8703,0.268,Ratio 0.27x -- moderate deviation,BUY,2020-06-07,Sunday Cycle Chart - June 7 #2020-084,Continues on a buy signal but soon the cycle reaches a high. Only a close below 30.50 will be a sell signal.
MANUAL,42070,NG,2020-02-10,cancel_level,15.4000,1.7660,8.720,Ratio 8.72x -- large deviation,BUY,2020-02-10,Monday Morning Update - February 10 #2020-022,We will have a buy signal on a close above 15.40
CHECK,56679,NG,2023-03-27,cancel_level,6.4600,2.0880,3.094,Ratio 3.09x -- moderate deviation,SELL,2023-03-27,Monday Morning Update - March 27 #2023 -049,There could be small a bounce if there is a close above 6.46.
